epoch,train_loss,train_auc,val_auc,lr
1,0.5828832446976945,0.78260674101191,0.8973809740831891,0.0001
2,0.4804451674222946,0.8882755162508383,0.9071600019097968,0.0001
3,0.4472429714821003,0.9124725497392054,0.9371416418176057,0.0001
4,0.424706726535051,0.9268623993570813,0.9539890881154213,0.0001
5,0.4077444269149392,0.936506260103542,0.9551696897882296,0.0001
6,0.40436892531536245,0.9381769463516223,0.9691849942055029,0.0001
7,0.39287030387807775,0.9439409719794211,0.9695908260305308,0.0001
8,0.386556768996848,0.9470268573839227,0.9778289950562304,0.0001
9,0.3771269603183976,0.9518150702126003,0.9767720961322274,0.0001
10,0.3748955721794455,0.9524822140957179,0.9782608695652174,0.0001
11,0.3661883338595982,0.9581909681347904,0.9818395683859178,0.0001
12,0.3665348731947166,0.9564752179932358,0.9839403448919445,0.0001
13,0.3640801285566003,0.957155329132264,0.9787014249688573,0.0001
14,0.3640133539421691,0.9568635122905742,0.9788207872703361,0.0001
15,0.3597598109808233,0.9592156760620866,0.9756891545242653,0.0001
16,0.34838823869272517,0.9648890380659155,0.982126037909467,5e-05
17,0.33698512158460087,0.9696602112773224,0.9850514994075289,5e-05
18,0.3347592281246627,0.96924844731846,0.9833109800296018,5e-05
19,0.3331696915819689,0.9706086428046653,0.975313705830523,5e-05
20,0.3299393568463899,0.9701025179463876,0.9836430242500793,5e-05
21,0.33231080265508756,0.9711488468974848,0.9836538753683954,2.5e-05
22,0.32166767107943695,0.9738364446442045,0.9848301365938774,2.5e-05
23,0.3208763801941165,0.9752080266671083,0.9859912062537165,2.5e-05
24,0.3225260615348816,0.9738243347275277,0.9811212243533819,2.5e-05
25,0.3269608504932236,0.9736486337683099,0.9850471589602025,2.5e-05
26,0.3191584251959015,0.976026999970154,0.9839316639972915,2.5e-05
27,0.3174722432262368,0.9755726101762631,0.9813946725349514,1.25e-05
28,0.318118486236091,0.9752271292569104,0.9827879561267584,1.25e-05
29,0.3124707503175294,0.9783588019348646,0.9812449271021872,1.25e-05
30,0.3152224991746523,0.9770655860762965,0.9846803911611131,1.25e-05
